Date,Description,Category,Amount,PaymentMethod
2024-03-29,Такси Везёт,Transport,3788.42,Transfer
2024-03-21,Тинькофф: перевод другу,Transfer,1141.87,Transfer
2024-04-01,Zara: одежда,Shopping,9941.29,Cash
2024-03-08,Стоматология,Health,993.77,Cash
2024-05-14,Zara: одежда,Shopping,6048.21,Transfer
2024-01-04,Бензин на АЗС Лукойл,Car,546.84,Transfer
2024-02-07,Магнит: продукты и вода,Food,6723.54,SMS
2024-03-20,Такси Везёт,Transport,1010.95,SMS
2024-05-25,Фитнес-клуб X-fit,Health,8217.54,Transfer
2024-02-28,Кинотеатр Формула Кино,Entertainment,783.48,SMS
2024-04-07,Spotify подписка,Entertainment,2965.65,SMS
2024-01-23,Ситилинк: ноутбук,Electronics,4256.25,Transfer
2024-02-06,ЖКХ через Госуслуги,Utilities,3350.27,Card
2024-03-30,Steam: покупка игры,Entertainment,349.55,Transfer
2024-03-23,Кинотеатр Формула Кино,Entertainment,7069.41,Card
2024-03-07,ИКЕА: товары для дома,Home,2218.24,Transfer
2024-04-01,Ozon: книга и ручка,Shopping,8143.32,SMS
2024-01-08,Яндекс Go: такси до офиса,Transport,8911.06,Card
2024-01-01,Стоматология,Health,8981.84,SMS
2024-05-15,Госуслуги: штраф ГИБДД,Fines,2273.24,SMS
2024-05-03,Перекрёсток: товары,Food,9613.73,Cash
2024-06-26,Магнит: продукты и вода,Food,7343.45,Transfer
2024-06-03,Ашан: закупка еды,Food,7356.07,SMS
2024-06-04,Пятёрочка: продукты,Food,7526.62,Transfer
2024-05-25,МТС пополнение,Mobile,1450.36,SMS
2024-01-04,ИКЕА: товары для дома,Home,7966.32,SMS
2024-02-27,Delivery Club: пицца,Food,115.24,SMS
2024-02-21,Магнит: продукты и вода,Food,3160.57,Transfer
2024-06-17,Госуслуги: штраф ГИБДД,Fines,8282.95,Transfer
2024-01-11,Spotify подписка,Entertainment,4587.77,Card
2024-06-14,DNS: мышка и клавиатура,Electronics,4105.39,SMS
2024-05-26,Такси Везёт,Transport,5692.66,Cash
2024-01-23,Кинотеатр Формула Кино,Entertainment,3685.25,Cash
2024-02-01,Zara: одежда,Shopping,8816.92,Transfer
2024-05-09,Такси Везёт,Transport,718.93,Card
2024-01-05,Тинькофф: перевод другу,Transfer,4396.23,SMS
2024-01-31,Wildberries: пуховик зимний,Shopping,9321.33,SMS
2024-03-01,Макдоналдс: бигмак и кофе,Food,7239.83,Transfer
2024-04-03,Перекрёсток: товары,Food,4539.14,Cash
2024-03-25,Театр им. Пушкина,Entertainment,6475.49,SMS
